"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type"
"32","FDX51",0.29443286692468,5,0.068436443401315,11,0.694613432998691,4,"2009",3,3,3
"33","NCR06",0.47305745757666,3,0.0209886442458129,10,0.0444214453295504,4,"2009",3,3,3
"34","FDU31",0.484705767714001,5,0.0768454044898324,7,0.791824667175906,6,"1985",3,3,4
"35","FDU59",0.0729383745162251,3,0.299506399518387,2,0.563794126473156,3,"2007",1,2,2
"36","FDR03",0.484705767714001,5,0.0268622729129955,11,0.737890795504147,6,"1985",3,3,4
"37","FDS49",0.484705767714001,3,0.243980831069057,4,0.206200894805762,6,"1985",3,3,4
"38","FDD48",0.347722536469187,3,0.15597544405002,1,0.349651148515932,1,"1998",1,3,1
"39","NCF18",0.82137540934802,3,0.276500679024134,10,0.682700308271497,3,"2007",1,2,2
"40","NCD43",0.484705767714001,3,0.0492600287707924,10,0.304377182453077,6,"1985",3,3,4
"41","NCD54",0.985114617445668,3,0.0899992675441295,10,0.47480545476866,4,"2009",3,3,3
"42","FDY19",0.904733551652277,1,0.213932178912226,7,0.360857533555216,1,"1998",1,3,1
"43","NCY54",0.23072342959214,3,0.552161297133771,10,0.605085968190746,3,"2007",1,2,2
"44","NCL19",0.64275081869604,3,0.048634974012339,12,0.48106466199258,4,"2009",3,3,3
"45","FDP23",0.128311997618339,3,0.184048986698054,2,0.78954758429725,1,"1998",1,3,1
"46","FDC26",0.335814230425722,3,0.390183524767058,4,0.341854846409865,2,"1987",2,3,2
"47","FDR14",0.422447156891932,3,0.900151022481977,5,0.101619618889131,1,"1998",1,3,1
"48","NCS41",0.493896993152724,3,0.1651043222791,9,0.644807466717591,7,"2004",4,2,2
"49","FDF41",0.452217922000595,3,0.405253131480587,6,0.92138735814055,7,"2004",4,2,2
"50","FDU34",0.815421256326287,3,0.232343248997809,14,0.396058114633348,9,"1997",4,1,2
"51","DRH11",0.0848466805596904,3,0.233464986392404,8,0.106869441564819,9,"1997",4,1,2
"52","FDM03",0.481988687109259,3,0.379833955761179,11,0.318432691783064,2,"1987",2,3,2
"53","FDS31",0.508782375707056,5,0.137321469288864,7,0.635306123144915,3,"2007",1,2,2
"54","FDJ20",0.961298005358738,5,0.311279281221171,7,0.385121126145788,3,"2007",1,2,2
"55","FDV44",0.484705767714001,5,0.122518287411574,7,0.668072757529463,6,"1985",3,3,4
"56","FDG02",0.196487049717178,3,0.0348497373965719,4,0.668499017896115,10,"1999",3,1,2
"57","FDA09",0.523667758261387,5,0,14,0.62948425905718,2,"1987",2,3,2
"58","FDT04",0.755879726108961,1,0.330470805361107,6,0.0272474151571366,2,"1987",2,3,2
"59","FDL58",0.484705767714001,5,0.40114498255601,14,0.985798709624618,5,"1985",4,1,1
"60","FDE52",0.347722536469187,5,0.0925338769337256,5,0.247918996890004,8,"2002",1,2,2
"61","FDW12",0.223876153617148,5,0.109892966738114,1,0.481053579223047,7,"2004",4,2,2
"62","FDL51",0.961298005358738,5,0.14757263800092,5,0.780046240724574,3,"2007",1,2,2
"63","NCY42",0.484705767714001,3,0.0466236418493799,10,0.466145549159756,6,"1985",3,3,4
"64","FDR07",1,3,0.241578066826023,7,0.276299412101702,3,"2007",1,2,2
"65","FDN40",0.0788925275379577,3,0.267682803318883,6,0.514538036065037,8,"2002",1,2,2
"66","FDB35",0.484705767714001,5,0.198697946523429,16,0.248895133129638,6,"1985",3,3,4
"67","FDA22",0.171479607025901,2,0.26242362803453,16,0.570446345755129,3,"2007",1,2,2
"68","NCL06",0.601071747543912,3,0.222677195265335,10,0.982825969827586,9,"1997",4,1,2
"69","FDI35",0.56236975290265,3,0.127478550869508,16,0.636293342154081,2,"1987",2,3,2
"70","NCW42",0.812444179815421,3,0.181028478350815,10,0.808426655936272,8,"2002",1,2,2
"71","NCX06",0.776719261685025,3,0.0485464335231256,10,0.631323998799651,10,"1999",3,1,2
"72","FDC37",0.484705767714001,3,0.101082812641048,1,0.324826597282846,6,"1985",3,3,4
"73","FDZ14",0.187853527835665,5,0.14764231477746,5,0.385277989960716,4,"2009",3,3,3
"74","DRG49",0.193807680857398,3,0.208752768860086,15,0.909036890277172,10,"1999",3,1,2
"75","NCG06",0.702292348913367,3,0.0911671244760472,10,0.955993732267569,8,"2002",1,2,2
"76","DRC36",0.502828222685323,5,0.139279717326725,15,0.604076583642514,8,"2002",1,2,2
"77","FDV21",0.484705767714001,3,0.925555255545449,14,0.395912333587953,5,"1985",4,1,1
"78","FDB53",0.523667758261387,3,0.430891113907486,6,0.497229307616761,9,"1997",4,1,2
"79","DRP47",0.484705767714001,3,0.76066108213225,8,0.939683305597992,5,"1985",4,1,1
"80","FDA14",0.687406966359035,1,0.201240694654906,5,0.482467058598865,2,"1987",2,3,2
"81","DRC24",0.791604644239357,3,0.0766802504452168,15,0.514538036065037,7,"2004",4,2,2
"82","FDW21",0.0467401012206014,5,0.0185027375325729,14,0.292609838771279,4,"2009",3,3,3
"83","NCH29",0.0568621613575469,3,0.106519890811702,9,0.278700110486687,9,"1997",4,1,2
"84","FDU58",0.122357844596606,5,0.0895681274261249,14,0.667949142023134,2,"1987",2,3,2
"85","FDY27",0.108663292646621,3,0.0991190120902185,5,0.620824353448276,3,"2007",1,2,2
"86","FDV56",0.687406966359035,5,0.0420011948871954,7,0.328090899170668,7,"2004",4,2,2
"87","FDT59",0.541530217326585,1,0.0491644031885143,2,0.846454195766041,9,"1997",4,1,2
"88","FDB23",0.871985710032748,5,0.0172681021308286,16,0.824882863651244,9,"1997",4,1,2
"89","FDR49",0.247395058052992,3,0.431071433079342,4,0.060731871999127,8,"2002",1,2,2
"90","FDB03",0.785650491217624,5,0.811106660483406,5,0.896271244816674,1,"1998",1,3,1
"91","FDN39",0.880916939565347,5,0,11,0.570300564709734,8,"2002",1,2,2
"92","FDX02",0.484705767714001,3,0.1754550036415,5,0.814798395896988,6,"1985",3,3,4
"93","FDQ16",0.484705767714001,3,0.128342085596483,6,0.323110473046705,6,"1985",3,3,4
"94","FDU35",0.112235784459661,3,0.245762986889843,2,0.287640495416849,4,"2009",3,3,3
"95","NCT29",0.479011610598392,3,0.197929549177815,9,0.384279688182017,2,"1987",2,3,2
"96","FDZ27",0.201250372134564,3,0.0530107775450875,5,0.0688197361959843,9,"1997",4,1,2
"97","FDN57",0.815421256326287,3,0.168525003974743,14,0.462174507584025,3,"2007",1,2,2
"98","FDA03",0.830306638880619,5,0.141049813348893,5,0.484317881110869,4,"2009",3,3,3
"99","FDZ36",0.0881214647216434,5,0.203676168359424,1,0.655307112068966,8,"2002",1,2,2
"100","NCU05",0.431378386424531,3,0.181336851387423,9,0.209599894969446,2,"1987",2,3,2
"101","FDT39",0.101518309020542,5,0.0306148725249469,11,0.507874734013531,4,"2009",3,3,3
"102","FDK60",0.711223578445966,5,0.291669813837403,1,0.277993370798778,3,"2007",1,2,2
"103","FDZ25",0.663590354272105,5,0.0858160191049704,4,0.585208594773025,3,"2007",1,2,2
"104","FDG12",0.123846382852039,4,0.0195469035092052,1,0.384144989906155,9,"1997",4,1,2
"105","DRB01",0.484705767714001,2,0.444913396787814,15,0.680153828841117,5,"1985",4,1,1
"106","NCC43",0.484705767714001,3,0.285299641578645,10,0.931875920722392,6,"1985",3,3,4
"107","FDX13",0.484705767714001,3,0.258504836178543,4,0.923361796158883,5,"1985",4,1,1
"108","FDM22",0.56236975290265,5,0.129845991613234,14,0.0898301096682672,10,"1999",3,1,2
"109","FDJ03",0.484705767714001,5,0.222608297138359,5,0.0719493398079441,6,"1985",3,3,4
"110","FDU14",0.785650491217624,3,0,5,0.928331139513313,4,"2009",3,3,3
"111","FDB33",0.785650491217624,3,0.0754060738590208,7,0.541504971900917,1,"1998",1,3,1
"112","FDP27",0.214349508782376,3,0.369088047947015,11,0.676317485541248,9,"1997",4,1,2
"113","FDO38",0.755879726108961,3,0.376710786176665,4,0.190575042285028,1,"1998",1,3,1
"114","FDE28",0.484705767714001,5,0.407570914775276,6,0.852848101265823,6,"1985",3,3,4
"115","FDO27",0.0964572789520691,5,0.553223143399333,11,0.270185985923178,7,"2004",4,2,2
"116","DRL23",0.484705767714001,3,0.0470594785838076,8,0.320137733249673,6,"1985",3,3,4
"117","FDS28",0.215838047037809,5,0.254610967288391,6,0.102169494762113,9,"1997",4,1,2
"118","FDX24",0.226257814825841,3,0.0430032952480485,1,0.258127080150589,2,"1987",2,3,2
"119","FDZ02",0.139922596010717,5,0.117848651813854,5,0.274437506820166,7,"2004",4,2,2
"120","FDL46",0.940458469782673,3,0.167368116114077,14,0.362136314655172,8,"2002",1,2,2
"121","FDS60",0.484705767714001,3,0.099776495131146,1,0.625647915757311,6,"1985",3,3,4
"122","NCO06",0.874962786543614,3,0.335689107723062,10,0.00454308298777826,3,"2007",1,2,2
"123","FDO16",0.0550759154510271,3,0.0466736700839237,6,0.224362143987342,7,"2004",4,2,2
"124","FDC60",0.0518011312890741,5,0.354255818115125,1,0.235983706623745,10,"1999",3,1,2
"125","FDA48",0.449240845489729,3,0.356392877463779,1,0.802313229757748,4,"2009",3,3,3
"126","FDZ36",0.484705767714001,5,0,1,0.65829093463553,6,"1985",3,3,4
"127","FDK27",0.38374516225067,3,0.0276997784973729,11,0.37803156372763,8,"2002",1,2,2
"128","FDW23",0.0720452515629652,3,0.254440356517063,1,0.0290982376691401,4,"2009",3,3,3
"129","FDM14",0.550461446859184,3,0.0411510115283548,4,0.333060242525098,4,"2009",3,3,3
"130","FDM14",0.550461446859184,3,0.0409499530871362,4,0.324961295558708,2,"1987",2,3,2
"131","FDW60",0.0526942542423341,5,0.0529341207313763,1,0.621687956951113,4,"2009",3,3,3
"132","FDE21",0.490919916641858,3,0.0708373166382627,7,0.360016095591445,2,"1987",2,3,2
"133","NCM42",0.0937779100922894,3,0.0874934434694004,10,0.329930638913138,7,"2004",4,2,2
"134","FDY59",0.216731169991069,3,0.162413083821672,1,0.264094725283719,1,"1998",1,3,1
"135","DRI49",0.571300982435249,3,0.567896936584045,15,0.210306634657355,10,"1999",3,1,2
"136","FDT28",0.484705767714001,3,0.343891686508455,6,0.508446775425578,5,"1985",4,1,1
"137","FDQ22",0.726108961000298,3,0.0922662624939846,14,0.032362539556962,4,"2009",3,3,3
"138","FDR60",0.580232211967848,1,0.403593470831826,1,0.189868302597119,10,"1999",3,1,2
"139","FDC50",0.484705767714001,1,0.738450931381523,4,0.267347944402008,5,"1985",4,1,1
"140","FDV24",0.0643048526347127,3,0.31883350137899,1,0.510723858304234,2,"1987",2,3,2
"141","DRF48",0.0699612980053588,3,0,15,0.666670360923178,1,"1998",1,3,1
"142","FDQ47",0.154807978565049,5,0.519675589254259,2,0.0195968940964644,9,"1997",4,1,2
"143","DRN36",0.633819589163441,2,0.155284522336111,15,0.27871119325622,10,"1999",3,1,2
"144","NCY06",0.636796665674308,3,0.189017907997579,10,0.411796499890877,7,"2004",4,2,2
"145","FDE52",0.347722536469187,5,0.0923291353564699,5,0.245361434690092,7,"2004",4,2,2
"146","NCB54",0.250372134563858,3,0.154970479371124,9,0.404706937472719,8,"2002",1,2,2
"147","NCF31",0.272402500744269,3,0.160171988239487,10,0.514122858467918,7,"2004",4,2,2
"148","FDJ08",0.484705767714001,3,0.340307463685152,7,0.672615840517241,6,"1985",3,3,4
"149","NCC07",0.895802322119678,3,0.0744247652954776,10,0.315886212352684,3,"2007",1,2,2
"150","NCD19",0.484705767714001,3,0.0405255180070514,10,0.092802849465299,6,"1985",3,3,4
"151","FDL46",0.940458469782673,3,0,14,0.370661521988215,10,"1999",3,1,2
"152","FDM20",0.324203632033343,3,0.119776875495279,7,0.913153712898298,8,"2002",1,2,2
"153","NCI06",0.401607621315868,3,0.246787510504238,10,0.632894341990397,1,"1998",1,3,1
"154","DRM11",0.119976183387913,3,0.204108414654191,8,0.969050939818857,7,"2004",4,2,2
"155","NCH07",0.511759452217922,3,0.287496323236839,10,0.539093190746399,4,"2009",3,3,3
"156","FDS23",0.00476332241738613,3,0.434968067411401,2,0.415643925960279,2,"1987",2,3,2
"157","FDO49",0.359928550163739,5,0.102543231697575,3,0.0729365588171104,4,"2009",3,3,3
"158","FDS35",0.282524560881215,3,0.344192276139293,2,0.141913158828023,10,"1999",3,1,2
"159","DRK39",0.14676987198571,3,0.154390533759487,5,0.215410676287647,8,"2002",1,2,2
"160","DRI39",0.550461446859184,3,0.300376422991736,5,0.112119264240506,10,"1999",3,1,2
"161","FDV04",0.194700803810658,5,0.466150862827917,6,0.537253451003929,3,"2007",1,2,2
"162","NCN14",0.866031557011015,3,0.283961155336123,12,0.641823644151026,7,"2004",4,2,2
"163","FDH08",0.1759452217922,3,0.0538089366074044,7,0.848731278644697,2,"1987",2,3,2
"164","FDS20",0.255730872283418,3,0.166442252343361,7,0.643820247708424,9,"1997",4,1,2
"165","FDV40",0.761833879130694,3,0.0454664141019987,6,0.185055823057617,10,"1999",3,1,2
"166","FDZ48",0.785650491217624,3,0.392849827899134,1,0.334888899498036,1,"1998",1,3,1
"167","FDS24",0.484705767714001,5,0.191335067136664,1,0.236836227357049,6,"1985",3,3,4
"168","FDK44",0.717177731467699,3,0.378255333374872,7,0.606925707933217,10,"1999",3,1,2
"169","FDS48",0.630842512652575,3,0,1,0.505036692492361,8,"2002",1,2,2
"170","FDK26",0.0538850848466806,5,0.166415883314048,4,0.660422236468791,1,"1998",1,3,1
"171","FDD23",0.29443286692468,5,0.150737490056189,16,0.667522881656482,8,"2002",1,2,2
"172","NCH54",0.532598987793986,1,0.225808889826633,10,0.552015700021825,3,"2007",1,2,2
"173","NCP14",0.221494492408455,3,0.570399253645853,10,0.317737034864688,1,"1998",1,3,1
"174","FDM60",0.371836856207205,5,0.248988650858154,1,0.0316447170995199,1,"1998",1,3,1
"175","FDV24",0.0643048526347127,3,0.320904001639243,1,0.508592556470973,3,"2007",1,2,2
"176","FDH08",0.1759452217922,3,0.0540731305508425,7,0.838927290211698,4,"2009",3,3,3
"177","FDS12",0.484705767714001,3,0.535399975364393,1,0.407701842808817,6,"1985",3,3,4
"178","FDR39",0.484705767714001,3,0.257675784503727,11,0.633589998908774,6,"1985",3,3,4
"179","FDP12",0.484705767714001,5,0.139191643409274,1,0.0191706337298123,6,"1985",3,3,4
"180","DRF60",0.484705767714001,3,0.160106964821061,15,0.871559226320384,6,"1985",3,3,4
"181","FDC09",0.651682048228639,5,0.0812546497854411,7,0.30155022370144,7,"2004",4,2,2
"182","FDF50",0.0208395355760643,2,0.364013434238695,4,0.710093504474029,4,"2009",3,3,3
"183","FDG28",0.281631437927955,5,0.152241358994389,6,0.903349724465299,7,"2004",4,2,2
"184","NCE19",0.262875855909497,3,0.289029617094905,10,0.10019505674378,3,"2007",1,2,2
"185","NCM53",0.845192021434951,3,0.269146472928355,9,0.324972378328241,1,"1998",1,3,1
"186","NCN18",0.258410241143197,3,0,10,0.336593940964644,10,"1999",3,1,2
"187","FDF32",0.702292348913367,3,0.210322152507509,7,0.712505285628547,7,"2004",4,2,2
"188","FDF11",0.335814230425722,5,0.0544330118741432,16,0.884335954550415,2,"1987",2,3,2
"189","DRI59",0.29443286692468,3,0.126370365685198,8,0.823615165320821,10,"1999",3,1,2
"190","NCG54",0.449240845489729,3,0.246545097119462,10,0.586195813782191,7,"2004",4,2,2
"191","FDM44",0.47305745757666,3,0.0959397426584817,7,0.295863057889568,9,"1997",4,1,2
"192","FDT57",0.633819589163441,3,0.0590547697932604,14,0.870572007311218,4,"2009",3,3,3
"193","FDV24",0.0643048526347127,3,0.31909904559965,1,0.508166296104321,9,"1997",4,1,2
"194","FDI50",0.484705767714001,5,0.166858193345454,4,0.834810467590572,5,"1985",4,1,1
"195","FDS09",0.258410241143197,5,0.250506235770237,14,0.0818880265168049,7,"2004",4,2,2
"196","NCC31",0.484705767714001,3,0.0611000102908428,10,0.522625900261894,6,"1985",3,3,4
"197","FDQ07",0.484705767714001,5,0.472869350992034,7,0.797343886403317,5,"1985",4,1,1
"198","FDC22",0.139029473057458,5,0.423931707860138,14,0.681556225447403,3,"2007",1,2,2
"199","FDZ56",0.696338195891634,3,0.0795241598351883,7,0.585500156863815,9,"1997",4,1,2
"200","FDZ40",0.484705767714001,3,0.217387853490101,6,0.0935206719227412,5,"1985",4,1,1
"201","FDS46",0.484705767714001,5,0.145312332639589,14,0.368238658064164,6,"1985",3,3,4
"202","DRD24",0.553438523370051,3,0.0953460656235657,15,0.463027028317329,8,"2002",1,2,2
"203","FDV45",0.726108961000298,3,0.139978468794591,14,0.669934662811,3,"2007",1,2,2
"204","FDL26",0.800535873771956,3,0.22661562639368,4,0.52774102466172,8,"2002",1,2,2
"205","FDA56",0.277165823161655,3,0.0271924512272993,7,0.388116031481886,4,"2009",3,3,3
"206","FDN27",0.970229234891337,3,0.122243337598551,11,0.367397220100393,9,"1997",4,1,2
"207","FDM20",0.324203632033343,3,0.119720299806655,7,0.908038588498472,10,"1999",3,1,2
"208","FDO16",0.0550759154510271,3,0.0469465527677446,6,0.216689457387604,3,"2007",1,2,2
"209","FDL03",0.874962786543614,5,0.0836599662687154,11,0.69745147451986,7,"2004",4,2,2
"210","FDE58",0.830306638880619,3,0.160886062418434,14,0.36241679397643,9,"1997",4,1,2
"211","FDI02",0.484705767714001,5,0.352278076029228,4,0.341989544685727,6,"1985",3,3,4
"212","NCC55",0.484705767714001,1,0.34495727152788,10,0.0293897997599302,5,"1985",4,1,1
"213","FDR03",0.663590354272105,5,0.0271029436058881,11,0.740874618070712,4,"2009",3,3,3
"214","FDB14",0.934504316760941,5,0.319199874538544,4,0.258407559471846,3,"2007",1,2,2
"215","FDR45",0.371836856207205,1,0.0893568445745483,14,0.890595161774334,2,"1987",2,3,2
"216","NCN07",0.830306638880619,3,0.105478289434827,12,0.417898843299869,3,"2007",1,2,2
"217","FDM51",0.484705767714001,5,0.140260336847201,11,0.299564702913575,5,"1985",4,1,1
"218","FDT52",0.484705767714001,5,0.145841984287068,6,0.90761232813182,6,"1985",3,3,4
"219","FDL26",0.800535873771956,3,0.22615697399105,4,0.521347119161938,9,"1997",4,1,2
"220","NCZ42",0.353974397142007,3,0.0348783373186853,10,0.882081037210825,9,"1997",4,1,2
"221","DRI47",0.484705767714001,3,0.113177743185893,8,0.484328963880402,5,"1985",4,1,1
"222","FDW40",0.56236975290265,5,0.324616383383192,6,0.465438809471846,2,"1987",2,3,2
"223","FDN34",0.657636201250372,5,0,14,0.584928115451768,9,"1997",4,1,2
"224","FDS01",0.419470080381066,3,0.0548195372260075,4,0.623953957060236,7,"2004",4,2,2
"225","NCG55",0.696338195891634,3,0.121202221332715,10,0.359028876582279,8,"2002",1,2,2
"226","FDC11",0.949389699315272,3,0.438039907922217,16,0.236264185945002,7,"2004",4,2,2
"227","FDX35",0.0285799345043168,5,0.247919747308441,2,0.82870812418158,4,"2009",3,3,3
"228","NCB06",0.776719261685025,3,0.254396165064376,9,0.547326835988651,9,"1997",4,1,2
"229","FDR09",0.484705767714001,3,0.42048849785506,14,0.971473803742907,5,"1985",4,1,1
"230","FDC53",0.245608812146472,3,0.0274556533195059,6,0.276849287974684,3,"2007",1,2,2
"231","FDY45",0.770765108663293,3,0,14,0.951607513094719,2,"1987",2,3,2
"232","FDA22",0.171479607025901,3,0.436772785530293,16,0.581955375654736,1,"1998",1,3,1
"233","FDE02",0.247395058052992,3,0.374578170074337,4,0.269770808326059,7,"2004",4,2,2
"234","FDW21",0.0467401012206014,5,0.0184650440958982,14,0.293462359504583,8,"2002",1,2,2
"235","FDV34",0.365584995534385,5,0.0353032853187216,14,0.177383136457879,9,"1997",4,1,2
"236","FDS59",0.610002977076511,5,0.135836309569376,2,0.328932337134439,10,"1999",3,1,2
"237","NCW17",0.800535873771956,3,0.0602399454982383,9,0.408823760093846,3,"2007",1,2,2
"238","NCK54",0.452217922000595,3,0.0912236630861198,10,0.363280397479267,9,"1997",4,1,2
"239","FDG17",0.484705767714001,5,0.193894821963399,6,0.904774286610651,5,"1985",4,1,1
"240","FDG35",0.991068770467401,5,0,16,0.60138432316674,3,"2007",1,2,2
"241","FDD08",0.222983030663888,3,0.182846547837842,7,0.024981415048014,1,"1998",1,3,1
"242","NCO07",0.268234593629056,3,0.0303783515398544,12,0.763713648515932,3,"2007",1,2,2
"243","FDJ10",0.0321524263173564,4,0.6697702052185,14,0.470138756274553,1,"1998",1,3,1
"244","FDW36",0.392676391783269,3,0.176910030858778,1,0.307215223974247,3,"2007",1,2,2
"245","FDW21",0.0467401012206014,5,0,14,0.294314880237887,1,"1998",1,3,1
"246","FDY19",0.904733551652277,3,0.128535614002029,7,0.366825178688346,3,"2007",1,2,2
"247","DRE03",0.895802322119678,3,0.074795906138677,5,0.064287735977739,2,"1987",2,3,2
"248","NCC55",0.365584995534385,3,0.197326704471236,10,0.0264059771933654,10,"1999",3,1,2
"249","FDH52",0.289669544507294,5,0.227059129118467,6,0.134823596409865,1,"1998",1,3,1
"250","FDO09",0.532598987793986,5,0.38927311348235,14,0.991912135803143,3,"2007",1,2,2
"251","FDU43",0.880916939565347,5,0.179710749916932,7,0.884347037319948,8,"2002",1,2,2
"252","FDX09",0.264662101816017,3,0.337457760771632,14,0.609752666684854,1,"1998",1,3,1
"253","FDH40",0.484705767714001,5,0.427007376731315,6,0.217979321257093,5,"1985",4,1,1
"254","FDW58",0.964275081869604,3,0.0234701540609147,14,0.308920265440856,3,"2007",1,2,2
"255","FDC47",0.621911283119976,3,0.369435631550998,14,0.832398686436054,3,"2007",1,2,2
"256","NCR41",0.791604644239357,1,0.0556814404967512,9,0.266069163302052,7,"2004",4,2,2
"257","DRG49",0.193807680857398,3,0.208389306366763,15,0.906905588443911,7,"2004",4,2,2
"258","FDC52",0.484705767714001,5,0.0254599992037381,5,0.5127093790921,6,"1985",3,3,4
"259","FDY13",0.449240845489729,3,0.0930900459247204,4,0.181488876309472,9,"1997",4,1,2
"260","FDY35",0.776719261685025,5,0.0494823857495141,2,0.0513652267023134,2,"1987",2,3,2
"261","FDI35",0.56236975290265,3,0.128306397491426,16,0.638424643987342,3,"2007",1,2,2
"262","NCU18",0.627865436141709,3,0.172807279953208,10,0.466582892295941,10,"1999",3,1,2
"263","FDY33",0.592140518011313,5,0.301563202344032,14,0.539373670067656,4,"2009",3,3,3
"264","FDC15",0.484705767714001,3,0.547239956884443,5,0.535122149170668,6,"1985",3,3,4
"265","FDU01",0.934504316760941,5,0,4,0.65858249672632,10,"1999",3,1,2
"266","NCU42",0.264662101816017,3,0.0602732049582241,10,0.586352677597119,9,"1997",4,1,2
"267","NCV29",0.431378386424531,3,0.0708711878943352,9,0.620970134493671,4,"2009",3,3,3
"268","NCY30",0.934504316760941,3,0.0806460331844686,10,0.64325928906591,3,"2007",1,2,2
"269","FDQ46",0.1759452217922,3,0.321268434354643,14,0.34170906536447,10,"1999",3,1,2
"270","FDG58",0.484705767714001,5,0.266844942398394,14,0.519215817328677,6,"1985",3,3,4
"271","FDK33",0.791604644239357,3,0.0349119304856275,14,0.772665116215626,3,"2007",1,2,2
"272","NCD07",0.270616254837749,3,0.171615454828136,10,0.356617095427761,8,"2002",1,2,2
"273","NCX29",0.484705767714001,3,0.274136566080335,9,0.479202756711043,6,"1985",3,3,4
"274","NCT42",0.0788925275379577,3,0.0768348185636051,10,0.495950526516805,2,"1987",2,3,2
"275","DRN59",0.621911283119976,3,0.198152388177696,8,0.0593183926233086,7,"2004",4,2,2
"276","FDI44",0.687406966359035,3,0.309648900267953,7,0.200524811763422,7,"2004",4,2,2
"277","FDA45",0.994045846978267,3,0.480850879817618,14,0.623392998417722,10,"1999",3,1,2
"278","FDP31",0.985114617445668,5,0.50004286125968,7,0.143763981340026,8,"2002",1,2,2
"279","FDY01",0.431378386424531,5,0.526155424416618,4,0.354620491870362,9,"1997",4,1,2
"280","FDT09",0.630842512652575,5,0.0380464739155717,14,0.429834133566128,4,"2009",3,3,3
"281","DRH03",0.484705767714001,3,0,5,0.267785287538193,6,"1985",3,3,4
"282","FDA36",0.085144388210777,3,0.0175797627989325,1,0.659435017459625,4,"2009",3,3,3
"283","NCF31",0.272402500744269,3,0.161108450295948,10,0.517532941401135,3,"2007",1,2,2
"284","FDG14",0.264662101816017,5,0.156283705850975,4,0.508581473701441,10,"1999",3,1,2
"285","FDG28",0.484705767714001,5,0.151532775530826,6,0.910169890331733,6,"1985",3,3,4
"286","FDU14",0.785650491217624,3,0.107548434358969,5,0.930036180979922,10,"1999",3,1,2
